subject,backbone,pipeline,fold,accuracy,auc,mean_accuracy,mean_auc,std_accuracy,p_empirical,p_vs_chance_method,pooled_test_correct,pooled_test_total,alpha_ratio,beta_ratio,lateralization_index
1,tangent,gedai,3,0.5833333333333334,0.645354938271605,0.6047222222222223,0.6506743827160495,0.01841522115996356,1.1078755289834238e-36,binomial,2177,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,tangent,gedai,4,0.6083333333333333,0.648449074074074,0.6047222222222223,0.6506743827160495,0.01841522115996356,1.1078755289834238e-36,binomial,2177,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
2,csp,baseline,0,0.5333333333333333,0.5478163580246914,0.5277777777777778,0.5437067901234568,0.008617828920826997,0.0004542398091333413,binomial,1900,3600,1.0,1.0,-0.0056474844351558
2,csp,baseline,1,0.525,0.5281327160493827,0.5277777777777778,0.5437067901234568,0.008617828920826997,0.0004542398091333413,binomial,1900,3600,1.0,1.0,-0.0056474844351558
2,csp,baseline,2,0.5347222222222222,0.5630015432098766,0.5277777777777778,0.5437067901234568,0.008617828920826997,0.0004542398091333413,binomial,1900,3600,1.0,1.0,-0.0056474844351558
2,csp,baseline,3,0.5319444444444444,0.5397608024691358,0.5277777777777778,0.5437067901234568,0.008617828920826997,0.0004542398091333413,binomial,1900,3600,1.0,1.0,-0.0056474844351558
2,csp,baseline,4,0.5138888888888888,0.5398225308641975,0.5277777777777778,0.5437067901234568,0.008617828920826997,0.0004542398091333413,binomial,1900,3600,1.0,1.0,-0.0056474844351558
2,tangent,baseline,0,0.5138888888888888,0.5293827160493827,0.5019444444444444,0.5131844135802469,0.008979572152913663,0.4142359270099328,binomial,1807,3600,1.0,1.0,-0.0056474844351558
2,tangent,baseline,1,0.4888888888888889,0.4956327160493827,0.5019444444444444,0.5131844135802469,0.008979572152913663,0.4142359270099328,binomial,1807,3600,1.0,1.0,-0.0056474844351558
2,tangent,baseline,2,0.5041666666666667,0.5175925925925926,0.5019444444444444,0.5131844135802469,0.008979572152913663,0.4142359270099328,binomial,1807,3600,1.0,1.0,-0.0056474844351558
2,tangent,baseline,3,0.5027777777777778,0.5092438271604939,0.5019444444444444,0.5131844135802469,0.008979572152913663,0.4142359270099328,binomial,1807,3600,1.0,1.0,-0.0056474844351558
2,tangent,baseline,4,0.5,0.5140702160493826,0.5019444444444444,0.5131844135802469,0.008979572152913663,0.4142359270099328,binomial,1807,3600,1.0,1.0,-0.0056474844351558
2,csp,asr,0,0.55,0.5636342592592593,0.5361111111111111,0.5520617283950617,0.026661602528406218,7.857082168892527e-06,binomial,1930,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,csp,asr,1,0.5430555555555555,0.5555015432098765,0.5361111111111111,0.5520617283950617,0.026661602528406218,7.857082168892527e-06,binomial,1930,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,csp,asr,2,0.5583333333333333,0.5765432098765433,0.5361111111111111,0.5520617283950617,0.026661602528406218,7.857082168892527e-06,binomial,1930,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,csp,asr,3,0.49027777777777776,0.5123765432098766,0.5361111111111111,0.5520617283950617,0.026661602528406218,7.857082168892527e-06,binomial,1930,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
